<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.03	14:15:00	5192.65	5208.69	5181.22	5204.42	5803	0	36
2026.03.03	14:30:00	5204.30	5212.01	5188.73	5202.62	4900	0	35
2026.03.03	14:45:00	5202.57	5226.68	5196.05	5224.59	5165	0	35
2026.03.03	15:00:00	5224.55	5224.61	5146.22	5163.79	11030	0	36
2026.03.03	15:15:00	5163.21	5184.50	5159.50	5177.91	8444	0	35
2026.03.03	15:30:00	5176.60	5186.14	5147.46	5155.94	6246	0	35
2026.03.03	15:45:00	5156.06	5159.16	5127.40	5156.67	6115	0	35
2026.03.03	16:00:00	5156.65	5175.31	5150.36	5165.04	6491	0	35
2026.03.03	16:15:00	5165.02	5166.42	5125.04	5145.96	6239	0	35
2026.03.03	16:30:00	5145.90	5145.90	5061.90	5071.20	7934	0	36
2026.03.03	16:45:00	5071.22	5076.40	5015.73	5037.70	7999	0	36
2026.03.03	17:00:00	5037.73	5069.97	5025.65	5039.91	7945	0	35
2026.03.03	17:15:00	5039.94	5053.27	4996.17	5044.11	7580	0	35
2026.03.03	17:30:00	5043.98	5069.93	5037.17	5061.57	7367	0	35
2026.03.03	17:45:00	5061.56	5096.88	5054.15	5095.13	7390	0	35
2026.03.03	18:00:00	5095.64	5122.75	5090.54	5108.00	7440	0	35
2026.03.03	18:15:00	5107.99	5126.13	5100.08	5112.76	7186	0	35
2026.03.03	18:30:00	5113.10	5134.50	5107.19	5111.40	7218	0	35
2026.03.03	18:45:00	5111.43	5115.64	5097.98	5106.71	7054	0	35
2026.03.03	19:00:00	5106.91	5107.43	5080.84	5098.04	7133	0	35
2026.03.03	19:15:00	5098.02	5109.68	5081.73	5083.21	6141	0	35
2026.03.03	19:30:00	5083.14	5085.81	5065.27	5078.64	6722	0	35
2026.03.03	19:45:00	5078.71	5084.31	5067.48	5079.05	6181	0	35
2026.03.03	20:00:00	5079.17	5103.88	5078.99	5103.33	6224	0	35
2026.03.03	20:15:00	5103.38	5117.11	5093.49	5112.05	5928	0	35
2026.03.03	20:30:00	5112.15	5137.14	5107.09	5133.22	6069	0	35
2026.03.03	20:45:00	5133.38	5137.95	5127.08	5135.85	5240	0	35
2026.03.03	21:00:00	5135.79	5148.50	5110.01	5111.29	5981	0	35
2026.03.03	21:15:00	5112.09	5121.37	5102.04	5106.16	5275	0	35
2026.03.03	21:30:00	5106.45	5118.87	5099.39	5118.81	6005	0	35
2026.03.03	21:45:00	5118.83	5128.34	5107.10	5113.17	5830	0	35
2026.03.03	22:00:00	5113.19	5126.91	5111.99	5118.81	5699	0	35
2026.03.03	22:15:00	5118.97	5130.35	5114.05	5122.99	5318	0	35
2026.03.03	22:30:00	5122.81	5126.37	5102.32	5111.45	5396	0	35
2026.03.03	22:45:00	5111.35	5113.13	5085.84	5096.75	6061	0	35
2026.03.03	23:00:00	5097.02	5110.32	5094.40	5098.54	2689	0	35
2026.03.03	23:15:00	5098.59	5100.96	5089.26	5089.35	2839	0	45
2026.03.03	23:30:00	5089.34	5096.29	5083.83	5091.78	2174	0	45
2026.03.03	23:45:00	5091.86	5093.57	5083.26	5087.80	2246	0	45
2026.03.04	01:00:00	5103.82	5117.84	5083.96	5117.09	3717	0	45
2026.03.04	01:15:00	5116.99	5128.16	5116.66	5126.10	3074	0	38
2026.03.04	01:30:00	5126.15	5128.38	5116.89	5125.53	2826	0	38
2026.03.04	01:45:00	5125.56	5129.87	5120.21	5125.25	2526	0	38
2026.03.04	02:00:00	5125.27	5126.16	5106.09	5115.80	4041	0	38
2026.03.04	02:15:00	5115.76	5128.98	5113.00	5125.07	3554	0	38
2026.03.04	02:30:00	5125.12	5137.55	5122.44	5132.18	2928	0	38
2026.03.04	02:45:00	5132.17	5140.21	5127.93	5138.62	3510	0	38
2026.03.04	03:00:00	5138.64	5162.68	5138.64	5159.49	5925	0	38
2026.03.04	03:15:00	5159.45	5164.17	5146.00	5146.23	5632	0	38
2026.03.04	03:30:00	5146.26	5163.51	5141.97	5162.96	5858	0	38
2026.03.04	03:45:00	5162.97	5178.56	5158.27	5175.03	4963	0	38
2026.03.04	04:00:00	5175.00	5190.70	5168.17	5189.65	4768	0	38
2026.03.04	04:15:00	5189.64	5189.66	5175.91	5177.71	3728	0	38
2026.03.04	04:30:00	5177.69	5179.92	5163.63	5179.61	4869	0	38
2026.03.04	04:45:00	5179.90	5180.85	5154.08	5156.19	5121	0	38
2026.03.04	05:00:00	5156.18	5160.09	5140.89	5155.90	4726	0	38
2026.03.04	05:15:00	5155.82	5167.97	5151.08	5162.29	4093	0	38
2026.03.04	05:30:00	5162.31	5167.60	5153.58	5162.92	4434	0	38
2026.03.04	05:45:00	5162.94	5177.36	5158.93	5174.46	3825	0	38
2026.03.04	06:00:00	5174.44	5180.72	5171.78	5173.97	2836	0	38
2026.03.04	06:15:00	5173.98	5174.24	5162.32	5168.24	3072	0	38
2026.03.04	06:30:00	5167.95	5170.59	5151.93	5161.64	3528	0	38
2026.03.04	06:45:00	5161.65	5164.98	5155.29	5156.80	3099	0	38
2026.03.04	07:00:00	5156.79	5166.32	5152.08	5160.89	3779	0	38
2026.03.04	07:15:00	5160.88	5165.79	5152.90	5156.51	3543	0	38
2026.03.04	07:30:00	5156.49	5167.59	5155.19	5160.17	4502	0	38
2026.03.04	07:45:00	5160.18	5168.24	5153.99	5159.91	4500	0	38
2026.03.04	08:00:00	5159.89	5159.90	5121.21	5141.88	5224	0	38
2026.03.04	08:15:00	5141.36	5150.33	5128.41	5134.45	4722	0	38
2026.03.04	08:30:00	5134.51	5155.89	5132.90	5148.06	4485	0	35
2026.03.04	08:45:00	5148.76	5160.39	5146.76	5160.33	3830	0	35
2026.03.04	09:00:00	5160.49	5175.89	5158.35	5167.61	4184	0	34
2026.03.04	09:15:00	5167.62	5174.55	5163.29	5167.73	3524	0	34
2026.03.04	09:30:00	5167.50	5173.04	5163.39	5169.40	2811	0	34
2026.03.04	09:45:00	5169.38	5175.88	5168.28	5168.28	2492	0	34
2026.03.04	10:00:00	5168.27	5172.11	5147.80	5157.21	4286	0	35
2026.03.04	10:15:00	5157.23	5168.57	5152.32	5162.68	3436	0	34
2026.03.04	10:30:00	5162.83	5176.01	5161.95	5175.64	3530	0	34
2026.03.04	10:45:00	5175.65	5182.05	5166.38	5167.50	3300	0	34
2026.03.04	11:00:00	5167.48	5171.27	5159.09	5164.09	4040	0	34
2026.03.04	11:15:00	5164.10	5178.41	5162.17	5170.85	2851	0	34
2026.03.04	11:30:00	5170.80	5184.88	5168.98	5182.47	2479	0	34
