<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.03	04:00:00	5340.87	5367.94	5332.26	5366.75	17042	0	38
2026.03.03	05:00:00	5366.66	5373.43	5359.23	5366.94	10476	0	38
2026.03.03	06:00:00	5366.95	5375.48	5359.29	5361.26	8528	0	38
2026.03.03	07:00:00	5361.17	5367.06	5305.48	5318.97	16953	0	38
2026.03.03	08:00:00	5318.99	5322.90	5279.30	5310.55	20936	0	38
2026.03.03	09:00:00	5309.50	5331.07	5305.92	5327.62	13381	0	35
2026.03.03	10:00:00	5327.31	5335.87	5290.19	5295.63	18054	0	34
2026.03.03	11:00:00	5295.65	5303.96	5225.78	5274.99	20874	0	34
2026.03.03	12:00:00	5274.90	5287.69	5237.82	5247.97	19669	0	34
2026.03.03	13:00:00	5247.90	5263.92	5074.13	5144.86	28757	0	34
2026.03.03	14:00:00	5144.70	5226.68	5138.50	5224.59	22710	0	35
2026.03.03	15:00:00	5224.55	5224.61	5127.40	5156.67	31835	0	35
2026.03.03	16:00:00	5156.65	5175.31	5015.73	5037.70	28663	0	35
2026.03.03	17:00:00	5037.73	5096.88	4996.17	5095.13	30282	0	35
2026.03.03	18:00:00	5095.64	5134.50	5090.54	5106.71	28898	0	35
2026.03.03	19:00:00	5106.91	5109.68	5065.27	5079.05	26177	0	35
2026.03.03	20:00:00	5079.17	5137.95	5078.99	5135.85	23461	0	35
2026.03.03	21:00:00	5135.79	5148.50	5099.39	5113.17	23091	0	35
2026.03.03	22:00:00	5113.19	5130.35	5085.84	5096.75	22474	0	35
2026.03.03	23:00:00	5097.02	5110.32	5083.26	5087.80	9948	0	35
2026.03.04	01:00:00	5103.82	5129.87	5083.96	5125.25	12143	0	38
2026.03.04	02:00:00	5125.27	5140.21	5106.09	5138.62	14033	0	38
2026.03.04	03:00:00	5138.64	5178.56	5138.64	5175.03	22378	0	38
2026.03.04	04:00:00	5175.00	5190.70	5154.08	5156.19	18486	0	38
2026.03.04	05:00:00	5156.18	5177.36	5140.89	5174.46	17078	0	38
2026.03.04	06:00:00	5174.44	5180.72	5151.93	5156.80	12535	0	38
2026.03.04	07:00:00	5156.79	5168.24	5152.08	5159.91	16324	0	38
2026.03.04	08:00:00	5159.89	5160.39	5121.21	5160.33	18261	0	35
2026.03.04	09:00:00	5160.49	5175.89	5158.35	5168.28	13011	0	34
2026.03.04	10:00:00	5168.27	5182.05	5147.80	5167.50	14552	0	34
2026.03.04	11:00:00	5167.48	5184.88	5159.09	5182.17	12085	0	34
2026.03.04	12:00:00	5182.19	5202.46	5179.59	5189.75	13337	0	34
2026.03.04	13:00:00	5189.74	5200.56	5187.63	5192.08	9089	0	34
2026.03.04	14:00:00	5192.10	5205.95	5156.25	5171.05	15414	0	34
2026.03.04	15:00:00	5171.14	5196.18	5167.29	5167.87	18774	0	34
2026.03.04	16:00:00	5167.88	5184.98	5138.56	5146.79	24154	0	34
2026.03.04	17:00:00	5145.15	5166.95	5131.19	5151.23	26218	0	34
2026.03.04	18:00:00	5151.28	5162.53	5138.17	5149.61	21861	0	34
2026.03.04	19:00:00	5149.60	5153.00	5120.35	5140.98	18815	0	34
2026.03.04	20:00:00	5141.05	5143.37	5109.19	5133.30	18214	0	34
2026.03.04	21:00:00	5133.55	5139.53	5123.21	5137.84	12521	0	34
2026.03.04	22:00:00	5137.76	5146.78	5123.54	5134.66	14369	0	34
2026.03.04	23:00:00	5135.22	5143.95	5129.29	5140.40	5897	0	35
2026.03.05	01:00:00	5146.43	5166.08	5144.79	5165.19	6862	0	35
2026.03.05	02:00:00	5165.15	5179.68	5159.40	5172.50	7816	0	35
2026.03.05	03:00:00	5172.56	5186.55	5167.17	5172.45	16525	0	35
2026.03.05	04:00:00	5172.28	5192.35	5171.49	5192.00	13568	0	35
2026.03.05	05:00:00	5191.99	5194.82	5178.31	5180.15	9899	0	35
2026.03.05	06:00:00	5180.02	5186.55	5166.35	5171.55	7145	0	35
2026.03.05	07:00:00	5171.57	5176.65	5148.24	5148.43	11311	0	35
2026.03.05	08:00:00	5148.52	5168.60	5120.72	5167.53	17389	0	35
2026.03.05	09:00:00	5167.54	5172.58	5158.64	5162.18	12181	0	34
2026.03.05	10:00:00	5162.17	5170.07	5137.52	5165.53	15238	0	34
2026.03.05	11:00:00	5165.51	5180.49	5153.80	5161.03	15622	0	34
2026.03.05	12:00:00	5161.00	5167.47	5146.14	5164.50	11192	0	34
2026.03.05	13:00:00	5164.63	5167.90	5156.90	5163.86	8316	0	34
2026.03.05	14:00:00	5163.93	5171.41	5160.89	5162.41	9020	0	34
2026.03.05	15:00:00	5162.50	5163.97	5084.77	5117.80	22053	0	34
2026.03.05	16:00:00	5117.71	5129.76	5090.76	5102.13	25383	0	34
2026.03.05	17:00:00	5102.07	5119.99	5061.94	5102.42	26805	0	34
2026.03.05	18:00:00	5102.43	5104.42	5054.22	5077.65	23719	0	34
