<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.02	00:00:00	5300.98	5392.62	5300.98	5324.39	63971	0	65
2026.03.02	04:00:00	5324.37	5366.88	5316.47	5365.90	51071	0	54
2026.03.02	08:00:00	5365.91	5419.04	5363.45	5391.98	60938	0	36
2026.03.02	12:00:00	5391.97	5416.67	5375.00	5393.86	58338	0	37
2026.03.02	16:00:00	5393.87	5395.02	5260.49	5306.66	105268	0	37
2026.03.02	20:00:00	5306.70	5346.28	5289.46	5321.30	58474	0	35
2026.03.03	00:00:00	5324.23	5379.72	5324.19	5341.17	35620	0	38
2026.03.03	04:00:00	5340.87	5375.48	5305.48	5318.97	52999	0	38
2026.03.03	08:00:00	5318.99	5335.87	5225.78	5274.99	73245	0	34
2026.03.03	12:00:00	5274.90	5287.69	5074.13	5156.67	102971	0	34
2026.03.03	16:00:00	5156.65	5175.31	4996.17	5079.05	114020	0	35
2026.03.03	20:00:00	5079.17	5148.50	5078.99	5087.80	78974	0	35
2026.03.04	00:00:00	5103.82	5178.56	5083.96	5175.03	48554	0	38
2026.03.04	04:00:00	5175.00	5190.70	5140.89	5159.91	64423	0	38
2026.03.04	08:00:00	5159.89	5184.88	5121.21	5182.17	57909	0	34
2026.03.04	12:00:00	5182.19	5205.95	5156.25	5167.87	56614	0	34
2026.03.04	16:00:00	5167.88	5184.98	5120.35	5140.98	91048	0	34
2026.03.04	20:00:00	5141.05	5146.78	5109.19	5140.40	51001	0	34
2026.03.05	00:00:00	5146.43	5186.55	5144.79	5172.45	31203	0	35
2026.03.05	04:00:00	5172.28	5194.82	5148.24	5148.43	41923	0	35
2026.03.05	08:00:00	5148.52	5180.49	5120.72	5161.03	60430	0	34
2026.03.05	12:00:00	5161.00	5171.41	5084.77	5117.80	50581	0	34
2026.03.05	16:00:00	5117.71	5129.76	5054.22	5062.82	98824	0	34
2026.03.05	20:00:00	5062.81	5094.73	5050.98	5082.25	71379	0	34
2026.03.06	00:00:00	5084.97	5143.28	5066.57	5134.68	36618	0	35
2026.03.06	04:00:00	5134.64	5141.34	5114.25	5117.03	36228	0	35
2026.03.06	08:00:00	5117.15	5122.86	5083.46	5085.63	43407	0	34
2026.03.06	12:00:00	5085.64	5131.16	5062.81	5084.99	61861	0	34
2026.03.06	16:00:00	5085.03	5171.44	5080.98	5140.76	94868	0	34
2026.03.06	20:00:00	5140.81	5178.03	5138.67	5171.80	50934	0	34
2026.03.09	00:00:00	5130.12	5135.57	5014.95	5069.99	66439	0	34
2026.03.09	04:00:00	5070.02	5140.36	5055.43	5124.21	62949	0	34
2026.03.09	08:00:00	5124.20	5133.96	5087.14	5105.23	64832	0	34
2026.03.09	12:00:00	5105.25	5111.26	5067.30	5073.91	53987	0	34
2026.03.09	16:00:00	5073.95	5115.96	5060.54	5095.78	78365	0	34
2026.03.09	20:00:00	5095.89	5147.85	5092.36	5138.45	41322	0	34
2026.03.10	00:00:00	5153.10	5186.07	5124.59	5184.12	42250	0	34
2026.03.10	04:00:00	5184.19	5186.79	5154.42	5177.88	44172	0	34
2026.03.10	08:00:00	5177.89	5195.07	5158.56	5182.56	45142	0	34
2026.03.10	12:00:00	5182.54	5228.77	5156.50	5205.62	65843	0	34
2026.03.10	16:00:00	5205.61	5238.50	5185.35	5227.57	67561	0	34
2026.03.10	20:00:00	5227.59	5227.98	5160.92	5191.64	48683	0	34
2026.03.11	00:00:00	5189.12	5223.23	5186.75	5208.42	28806	0	34
2026.03.11	04:00:00	5208.45	5220.37	5190.82	5199.42	33758	0	34
2026.03.11	08:00:00	5199.60	5210.58	5175.43	5187.69	44907	0	34
2026.03.11	12:00:00	5187.70	5196.58	5149.27	5176.80	57141	0	34
2026.03.11	16:00:00	5176.76	5196.08	5154.57	5169.72	69137	0	34
2026.03.11	20:00:00	5169.46	5183.51	5169.17	5176.23	21646	0	34
2026.03.12	00:00:00	5138.61	5172.78	5125.51	5168.59	35014	0	34
2026.03.12	04:00:00	5168.37	5174.99	5137.12	5154.35	33895	0	34
2026.03.12	08:00:00	5154.37	5190.34	5147.24	5188.32	36181	0	34
2026.03.12	12:00:00	5188.33	5191.62	5146.31	5151.18	62889	0	34
2026.03.12	16:00:00	5151.13	5163.28	5102.47	5105.29	87235	0	34
2026.03.12	20:00:00	5105.13	5112.51	5054.65	5079.60	45804	0	34
2026.03.13	00:00:00	5095.83	5124.58	5089.08	5124.48	36317	0	34
2026.03.13	04:00:00	5124.85	5128.57	5098.20	5103.05	45503	0	34
2026.03.13	08:00:00	5103.23	5107.78	5060.70	5089.58	66712	0	34
2026.03.13	12:00:00	5089.55	5121.84	5080.34	5101.27	69063	0	36
2026.03.13	16:00:00	5101.32	5108.01	5018.66	5046.12	94895	0	36
2026.03.13	20:00:00	5046.10	5051.67	5009.57	5019.00	46023	0	36
2026.03.16	00:00:00	5024.51	5031.03	4967.75	5015.83	63459	0	36
2026.03.16	04:00:00	5015.86	5026.18	4997.74	5017.30	55344	0	36
2026.03.16	08:00:00	5017.18	5035.98	4972.47	4975.33	67615	0	36
2026.03.16	12:00:00	4975.34	5034.43	4969.84	5029.69	72789	0	36
2026.03.16	16:00:00	5029.67	5038.26	4973.86	4991.23	81674	0	36
2026.03.16	20:00:00	4991.40	5021.52	4989.98	5004.67	39823	0	36
2026.03.17	00:00:00	5002.17	5028.03	4994.58	5027.81	37142	0	36
2026.03.17	04:00:00	5027.73	5044.22	5019.89	5020.70	47484	0	36
2026.03.17	08:00:00	5020.76	5029.53	5004.68	5010.52	55459	0	36
2026.03.17	12:00:00	5010.48	5031.54	4991.73	5016.52	64122	0	36
2026.03.17	16:00:00	5016.41	5020.54	4973.34	5002.43	77900	0	36
2026.03.17	20:00:00	5002.44	5008.95	4996.36	5006.14	31264	0	36
2026.03.18	00:00:00	4999.74	5015.84	4991.33	4998.56	27837	0	36
2026.03.18	04:00:00	4999.07	5006.91	4981.71	4997.55	43103	0	36
2026.03.18	08:00:00	4997.30	5016.48	4977.25	4992.07	49209	0	36
2026.03.18	12:00:00	4992.08	4992.08	4834.05	4878.29	89709	0	36
2026.03.18	16:00:00	4878.23	4898.94	4856.27	4890.51	80012	0	36
2026.03.18	20:00:00	4890.45	4899.46	4806.62	4818.71	60379	0	36
2026.03.19	00:00:00	4834.59	4866.93	4828.01	4849.95	46505	0	36
2026.03.19	04:00:00	4849.98	4865.80	4826.99	4827.46	53642	0	36
2026.03.19	08:00:00	4827.47	4842.06	4686.59	4698.83	93027	0	36
2026.03.19	12:00:00	4698.82	4719.86	4502.72	4621.28	101109	0	36
2026.03.19	16:00:00	4621.69	4649.16	4565.93	4615.91	111472	0	36
2026.03.19	20:00:00	4615.28	4662.92	4596.29	4650.11	61390	0	36
2026.03.20	00:00:00	4636.39	4699.10	4634.11	4677.23	49960	0	36
2026.03.20	04:00:00	4677.25	4735.88	4670.13	4688.45	62607	0	36
2026.03.20	08:00:00	4688.54	4734.75	4659.57	4667.57	73978	0	36
2026.03.20	12:00:00	4667.55	4695.62	4612.66	4616.40	90606	0	36
2026.03.20	16:00:00	4616.35	4622.50	4540.41	4573.30	108633	0	36
2026.03.20	20:00:00	4573.31	4578.43	4477.34	4490.66	67572	0	36
2026.03.23	00:00:00	4498.78	4510.42	4319.80	4387.85	75152	0	36
2026.03.23	04:00:00	4387.84	4422.01	4301.82	4310.25	90203	0	36
2026.03.23	08:00:00	4310.28	4310.54	4098.75	4255.00	107865	0	36
2026.03.23	12:00:00	4254.73	4492.57	4241.22	4456.93	113197	0	36
2026.03.23	16:00:00	4456.84	4512.77	4351.08	4426.63	120869	0	36
2026.03.23	20:00:00	4426.58	4466.90	4382.92	4413.39	62179	0	36
2026.03.24	00:00:00	4427.32	4448.33	4308.17	4321.20	68016	0	36
2026.03.24	04:00:00	4321.26	4379.45	4305.83	4346.00	89511	0	36
2026.03.24	08:00:00	4345.98	4432.74	4343.69	4426.85	93422	0	36
2026.03.24	12:00:00	4428.78	4442.04	4351.58	4385.13	100304	0	36
2026.03.24	16:00:00	4384.93	4434.08	4372.34	4388.78	112056	0	36
2026.03.24	20:00:00	4389.05	4484.04	4383.77	4474.12	66635	0	36
2026.03.25	00:00:00	4483.93	4601.03	4472.42	4594.48	60501	0	36
2026.03.25	04:00:00	4594.10	4602.55	4549.18	4555.71	61168	0	36
2026.03.25	08:00:00	4555.69	4568.12	4527.43	4552.03	75199	0	36
2026.03.25	12:00:00	4552.41	4585.65	4521.75	4545.81	87611	0	36
2026.03.25	16:00:00	4545.89	4579.42	4524.78	4548.80	97703	0	36
2026.03.25	20:00:00	4548.81	4568.92	4486.75	4513.89	55273	0	36
2026.03.26	00:00:00	4516.59	4544.24	4488.69	4535.14	52908	0	36
2026.03.26	04:00:00	4535.11	4535.45	4438.37	4443.64	66226	0	36
2026.03.26	08:00:00	4442.73	4463.86	4412.15	4424.18	86670	0	36
2026.03.26	12:00:00	4424.15	4460.60	4416.40	4449.99	89009	0	36
2026.03.26	16:00:00	4449.96	4479.35	4366.64	4384.42	104886	0	36
2026.03.26	20:00:00	4384.44	4420.89	4351.22	4382.05	62338	0	36
2026.03.27	00:00:00	4412.49	4421.46	4375.10	4421.00	45759	0	36
